datetime,000001.SH,cash,commission,direction,signal,total,returns,equity_curve,drawdown,open,high,low,close,volume,,,
2010-10-26,6542.903,1214.077,30,1,0,7756.98,-0.0125716992,1.551396,0.019752,3065.844,3073.384,3017.818,3041.543,260361924.704,,,
2010-10-27,6097.953,1214.077,30,1,0,7312.03,-0.0573612411,1.462406,0.108742,3031.645,3056.399,2988.871,2997.048,230105302.3239,,,
2010-10-28,6053.263,1214.077,30,1,0,7267.34,-0.0061118458,1.453468,0.11768,2989.29,3007.013,2969.304,2992.579,185681185.122,,,
2010-10-29,5915.823,1214.077,30,1,0,7129.9,-0.0189120091,1.42598,0.145168,2993.296,2996.774,2955.48,2978.835,194560385.9502,,,
2010-11-01,6667.683,1214.077,30,1,0,7881.76,0.1054516894,1.576352,0,2986.886,3054.05,2986.886,3054.021,251047187.658,,,
2010-11-02,6581.813,1214.077,30,1,0,7795.89,-0.0108947748,1.559178,0.017174,3061.631,3089.568,3029.324,3045.434,306509480.6932,,,
2010-11-03,6437.353,1214.077,30,1,0,7651.43,-0.0185302769,1.530286,0.046066,3044.022,3069.066,3017.098,3030.988,243967884.5657,,,
2010-11-04,6996.863,1214.077,30,1,0,8210.94,0.073124893,1.642188,0,3035.366,3087.421,3035.366,3086.939,228103070.9539,,,
2010-11-05,7422.443,1214.077,30,1,0,8636.52,0.0518308501,1.727304,0,3129.87,3142.589,3105.921,3129.497,273178387.115,,,
2010-11-08,7722.593,1214.077,30,1,0,8936.67,0.0347535813,1.787334,0,3140.395,3160.699,3124.091,3159.512,259242023.181,,,
2010-11-09,7477.473,1214.077,30,1,0,8691.55,-0.0274285612,1.73831,0.049024,3159.019,3159.019,3110.343,3135,248089377.252,,,
2010-11-10,7281.033,1214.077,30,1,0,8495.11,-0.0226012621,1.699022,0.088312,3120.44,3124.256,3093.878,3115.356,248976890.9328,,,
2010-11-11,7604.913,1214.077,30,1,0,8818.99,0.0381254628,1.763798,0.023536,3108.511,3186.72,3102.774,3147.744,286984448.9268,,,
2010-11-12,5981.823,1214.077,30,1,0,7195.9,-0.184044885,1.43918,0.348154,3121.922,3150.146,2975.163,2985.435,298405913.627,,,
2010-11-15,6271.603,1214.077,30,1,-1,7485.68,0.0402701538,1.497136,0.290198,2984.872,3016.131,2939.68,3014.413,197094095.3906,,,
2010-11-16,4213.163,4466.267,40,-1,0,8679.43,0.1594711502,1.735886,0.051448,3007.643,3007.643,2885.753,2894.538,221674190.365,,,
2010-11-17,4769.973,4466.267,40,-1,0,9236.24,0.0641528303,1.847248,0,2852.478,2891.052,2824.121,2838.857,158701993.0892,,,
2010-11-18,4504.023,4466.267,40,-1,0,8970.29,-0.0287941846,1.794058,0.05319,2855.605,2873.696,2827.179,2865.452,127770552.361,,,
2010-11-19,4272.883,4466.267,40,-1,0,8739.15,-0.0257672829,1.74783,0.099418,2879.655,2888.75,2806.644,2888.566,155775076.597,,,
2010-11-22,4314.833,4466.267,40,-1,0,8781.1,0.004800238,1.75622,0.091028,2861.606,2904.97,2852.774,2884.371,162685478.7,,,
2010-11-23,4875.723,4466.267,40,-1,0,9341.99,0.0638746854,1.868398,0,2872.172,2872.172,2791.584,2828.282,145079505.569,,,
2010-11-24,4559.183,4466.267,40,-1,0,9025.45,-0.033883573,1.80509,0.063308,2794.864,2861.485,2794.864,2859.936,147881632.9874,,,
2010-11-25,4175.933,4466.267,40,-1,0,8642.2,-0.0424632567,1.72844,0.139958,2875.858,2901.675,2856.962,2898.261,167185489.071,,,
2010-11-26,4441.563,4466.267,40,-1,0,8907.83,0.0307363866,1.781566,0.086832,2890.287,2894.421,2851.957,2871.698,143563927.8548,,,
2010-11-29,4494.983,4466.267,40,-1,0,8961.25,0.0059969712,1.79225,0.076148,2861.149,2878.827,2841.795,2866.356,133972620.547,,,
2010-11-30,4956.733,4466.267,40,-1,0,9423,0.0515274097,1.8846,0,2863.412,2881.16,2758.924,2820.181,173085021.719,,,
2010-12-01,4924.053,4466.267,40,-1,1,9390.32,-0.0034681099,1.878064,0.006536,2810.543,2834.199,2795.811,2823.449,104257887.0564,,,
2010-12-02,3025.029,6561.871,50,1,0,9586.9,0.0209343239,1.91738,0,2860.464,2870.806,2841.473,2843.607,132216371.807,,,
2010-12-03,3013.269,6561.871,50,1,0,9575.14,-0.0012266739,1.915028,0.002352,2846.725,2853.401,2822.743,2842.431,105926905.638,,,
2010-12-06,3160.739,6561.871,50,1,0,9722.61,0.0154013414,1.944522,0,2850.382,2871.407,2831.697,2857.178,110832357.331,,,
2010-12-07,3347.569,6561.871,50,1,0,9909.44,0.0192160336,1.981888,0,2843.767,2884.53,2809.11,2875.861,111266697.6839,,,
2010-12-08,3074.419,6561.871,50,1,0,9636.29,-0.0275646252,1.927258,0.05463,2868.733,2880.558,2843.94,2848.546,110227180.9463,,,
2010-12-09,2698.449,6561.871,50,1,0,9260.32,-0.0390160529,1.852064,0.129824,2837.615,2854.7,2808.506,2810.949,108747831.204,,,
2010-12-10,2999.359,6561.871,50,1,0,9561.23,0.0324945574,1.912246,0.069642,2798.736,2850.422,2792.522,2841.04,98203063.221,,,
2010-12-13,3818.499,6561.871,50,1,0,10380.37,0.0856730776,2.076074,0,2850.325,2923.774,2847.658,2922.954,159949594.345,,,
2010-12-14,3859.729,6561.871,50,1,0,10421.6,0.0039719201,2.08432,0,2928.3,2933.407,2912.42,2927.077,152967337.117,,,
2010-12-15,3703.099,6561.871,50,1,0,10264.97,-0.0150293621,2.052994,0.031326,2927.264,2939.05,2905.649,2911.414,143370183.685,,,
2010-12-16,3570.339,6561.871,50,1,0,10132.21,-0.0129333062,2.026442,0.057878,2908.865,2921.275,2891.858,2898.138,109770051.796,,,
2010-12-17,3526.359,6561.871,50,1,0,10088.23,-0.0043406128,2.017646,0.066674,2896.77,2898.812,2881.004,2893.74,93857086.844,,,
2010-12-20,3118.119,6561.871,50,1,0,9679.99,-0.04046696,1.935998,0.148322,2901.47,2911.561,2804.556,2852.916,146605402.0031,,,
